Target,Model,Spearman_rho,RMSE,R2
pH (KCl),CatBoost,0.8261340090984941,0.2892663980674276,0.8055712568578004
pH (KCl),RF,0.7983058291440659,0.29752117212094,0.7943161249491741
pH (KCl),XGBoost,0.8461826349856729,0.3021710888412107,0.7878366754071218
pH (KCl),CART,0.5373735222105268,0.3347098581180815,0.7396836174427293
pH (KCl),ResNet,0.7089760237387149,0.3885687510231325,0.648792205441568
pH (KCl),ET,0.770867292971165,0.322743552400875,0.7579641805655684
pH (KCl),KNN,0.6423626581848952,0.4266364790109613,0.5770583394011621
pH (KCl),LR,0.7465216504268726,0.4487850875069184,0.5320048761064948
pH (KCl),Ridge,0.7465271457722179,0.4484378729067765,0.5327287498943254
pH (KCl),SGD,0.7469728874968065,0.4330025165226849,0.5643423606207456
pH (KCl),SVR,0.7142513731617695,0.3342910420007399,0.740334667799984
pH (KCl),GBDT,0.8567044960510455,0.2613075738427939,0.8413396205965675
"NO3, mg/kg",CatBoost,0.7360770021129192,5.6805524784156205,0.4820000852789606
"NO3, mg/kg",RF,0.7745205250971098,5.001500269594301,0.5984412175933957
"NO3, mg/kg",XGBoost,0.6943906557442019,5.659989380227355,0.4857435254011484
"NO3, mg/kg",CART,0.5728274228533068,7.23290105986971,0.1602044204542305
"NO3, mg/kg",ResNet,0.5985999141505953,6.453915472211567,0.3313382788880745
"NO3, mg/kg",ET,0.7679492893834724,4.832451980332011,0.6251274590340052
"NO3, mg/kg",KNN,0.752916849037892,4.971021355956665,0.6033204668622146
"NO3, mg/kg",LR,0.382071030619957,164.4103113260451,-432.9169738125799
"NO3, mg/kg",Ridge,0.3826424304453195,8.934013755690087,-0.2812732796811186
"NO3, mg/kg",SGD,0.3940619166167269,6.52916774141581,0.3156721920467545
"NO3, mg/kg",SVR,0.6905989975228144,5.958124764724651,0.4301405927117918
"NO3, mg/kg",GBDT,0.707208223983842,6.069443901289023,0.4086476337373689
"P2O5, mg/kg",CatBoost,0.5995399511158369,16.765130701163567,0.3180949157987766
"P2O5, mg/kg",RF,0.5951958462251244,15.36082218358893,0.4275481476232624
"P2O5, mg/kg",XGBoost,0.5745567318402365,17.403357111128322,0.2651882282383081
"P2O5, mg/kg",CART,0.4805951545781333,18.52695914211856,0.1672429291422268
"P2O5, mg/kg",ResNet,0.5673189116055671,15.097897136112577,0.4332215978269126
"P2O5, mg/kg",ET,0.6111292051313257,15.377881567928188,0.4262759372143387
"P2O5, mg/kg",KNN,0.5549243037220309,17.421595350470298,0.2636472962018844
"P2O5, mg/kg",LR,0.4958133119919897,16.608595817079564,0.3307692711763793
"P2O5, mg/kg",Ridge,0.4968456850045478,16.604523873501265,0.3310973826849985
"P2O5, mg/kg",SGD,0.5086142771082367,16.63445295376086,0.3286838618124046
"P2O5, mg/kg",SVR,0.6004359165525072,18.103581476586903,0.2048683454304251
"P2O5, mg/kg",GBDT,0.5625633155694464,16.299096473318095,0.3554789557550842
"K2O, mg/kg",CatBoost,0.481568545087067,138.01886836806767,0.313501782526379
"K2O, mg/kg",RF,0.6240098206313006,121.35896501408855,0.469230183868342
"K2O, mg/kg",XGBoost,0.5598559378620204,126.33761829029014,0.4247881027666592
"K2O, mg/kg",CART,0.5156477321560449,142.6107921327584,0.2670619409492708
"K2O, mg/kg",ResNet,0.4701196492552586,145.77881162109057,0.2405438381199166
"K2O, mg/kg",ET,0.6151312993672243,125.71579157581056,0.4304364897360619
"K2O, mg/kg",KNN,0.5171456553644138,143.47357488264723,0.2581666927721547
"K2O, mg/kg",LR,0.47055321406398,145.26837999298706,0.2394904427495232
"K2O, mg/kg",Ridge,0.4702152994820365,145.20559463371572,0.2401476889746631
"K2O, mg/kg",SGD,0.4678886278389674,144.49248912481573,0.2475926409976194
"K2O, mg/kg",SVR,0.4350053054492812,159.52098244926952,0.0829392191046721
"K2O, mg/kg",GBDT,0.6162737282098438,121.95329303794551,0.4640188045241891
"S, mg/kg",CatBoost,0.4783709293150288,3.838797227540036,0.7457848499562783
"S, mg/kg",RF,0.5175971977625103,3.568674368761723,0.7803025949638366
"S, mg/kg",XGBoost,0.4946498701078587,3.693186240666598,0.7647045648403634
"S, mg/kg",CART,0.4105157157138155,3.997811416357647,0.7242879853601728
"S, mg/kg",ResNet,0.4250168151090457,3.734117836257471,0.7624772470482417
"S, mg/kg",ET,0.4935601971494756,3.674911577623128,0.7670273863812472
"S, mg/kg",KNN,0.3930690908408829,4.05860636605671,0.7158386885426422
"S, mg/kg",LR,0.3153030753519492,4.884472442408616,0.5884274407241401
"S, mg/kg",Ridge,0.3161319143821209,4.877057287793996,0.5896761150329748
"S, mg/kg",SGD,0.3232976185917354,4.902282677800569,0.585420537400388
"S, mg/kg",SVR,0.4004615454337604,5.329996177001121,0.509922370236426
"S, mg/kg",GBDT,0.5361753834682411,3.995455331710783,0.7246128678310845
"SOC, %",RF,0.4665,3.7233,0.7608
"SOC, %",ET,0.4836,3.8454,0.7449
"SOC, %",XGBoost,0.4313,4.1124,0.7083
"SOC, %",CatBoost,0.4586,3.9855,0.726
"SOC, %",GBDT,0.404,3.8216,0.7481
"SOC, %",CART,0.4526,4.0532,0.7166
"SOC, %",KNN,0.4092,4.1264,0.7063
"SOC, %",LR,0.302,6.1983,0.3372
"SOC, %",Ridge,0.3025,6.198,0.3373
"SOC, %",SGD,0.3042,6.2017,0.3365
"SOC, %",SVR,0.4333,4.6608,0.6253
