target,model,rho,r2,rmse,mae,n,n_farms,time_s
ph,RF,0.7498,0.6163,0.4064,0.3327,1085,20,13.3
ph,ET,0.6997,0.5349,0.4474,0.3696,1085,20,8.2
ph,XGBoost,0.6933,0.5353,0.4472,0.3408,1085,20,5.3
ph,CatBoost,0.7425,0.6401,0.3936,0.3117,1085,20,7.8
ph,GBDT,0.6741,0.4848,0.4709,0.3469,1085,20,10.3
ph,CART,0.52,0.1763,0.5954,0.4186,1085,20,0.1
ph,KNN,0.5017,0.3625,0.5238,0.3668,1085,20,0.4
ph,LR,0.5975,0.132,0.6112,0.4621,1085,20,0.2
ph,Ridge,0.6019,0.1366,0.6096,0.4609,1085,20,0.1
ph,SGD,0.6274,0.2213,0.5789,0.4352,1085,20,0.1
ph,SVR,0.6734,0.5398,0.445,0.3771,1085,20,0.4
soc,RF,0.5286,0.2827,0.4642,0.3311,1085,20,13.7
soc,ET,0.5052,0.2345,0.4796,0.3481,1085,20,8.2
soc,XGBoost,0.3131,-0.0549,0.563,0.3833,1085,20,6.7
soc,CatBoost,0.5535,0.2571,0.4724,0.3318,1085,20,10.2
soc,GBDT,0.3791,0.0366,0.538,0.3558,1085,20,10.2
soc,CART,-0.0325,-0.7839,0.7321,0.5058,1085,20,0.1
soc,KNN,0.4664,0.2347,0.4795,0.3485,1085,20,0.5
soc,LR,0.3698,-0.1959,0.5994,0.4461,1085,20,0.1
soc,Ridge,0.3689,-0.1919,0.5984,0.445,1085,20,0.1
soc,SGD,0.3518,-0.1773,0.5947,0.4355,1085,20,0.1
soc,SVR,0.2829,0.0613,0.5311,0.3812,1085,20,0.6
no3,RF,0.2316,0.2789,6.7025,4.6536,1085,20,12.7
no3,ET,0.1808,0.312,6.5468,4.6089,1085,20,8.3
no3,XGBoost,0.1159,-0.0567,8.1135,5.4273,1085,20,7.3
no3,CatBoost,0.1912,0.1135,7.4312,4.869,1085,20,7.0
no3,GBDT,0.0602,-0.0959,8.2624,5.5208,1085,20,9.5
no3,CART,0.0263,-0.2787,8.9249,5.957,1085,20,0.1
no3,KNN,0.2179,0.1372,7.3314,5.1085,1085,20,0.4
no3,LR,-0.0567,-362.872,150.5567,27.4511,1085,20,0.1
no3,Ridge,-0.0549,-362.3998,150.459,27.4229,1085,20,0.1
no3,SGD,-0.038,-387.8055,155.6295,27.9169,1085,20,0.1
no3,SVR,-0.0771,-0.1605,8.5026,5.9201,1085,20,0.8
p,RF,0.49,0.3426,16.4616,10.5686,1085,20,13.7
p,ET,0.5193,0.3397,16.4973,10.8318,1085,20,7.7
p,XGBoost,0.5236,0.1508,18.7095,10.8406,1085,20,10.3
p,CatBoost,0.5471,0.3251,16.6786,10.3225,1085,20,7.2
p,GBDT,0.4519,0.277,17.2634,11.0284,1085,20,9.9
p,CART,0.4058,0.1099,19.1539,11.3083,1085,20,0.1
p,KNN,0.4382,0.3747,16.0541,10.9551,1085,20,0.4
p,LR,0.4711,0.3283,16.6389,11.7451,1085,20,0.1
p,Ridge,0.4722,0.3287,16.6346,11.7362,1085,20,0.1
p,SGD,0.4721,0.3102,16.8617,11.9267,1085,20,0.1
p,SVR,0.5713,0.1717,18.4772,10.7691,1085,20,0.7
k,RF,0.448,0.2335,145.8383,112.2962,1085,20,13.0
k,ET,0.4323,0.2009,148.9078,113.5469,1085,20,8.5
k,XGBoost,0.2221,-0.034,169.3892,129.1005,1085,20,12.1
k,CatBoost,0.329,0.0857,159.2802,122.2481,1085,20,8.5
k,GBDT,0.2818,0.0764,160.0886,122.9293,1085,20,10.1
k,CART,0.1599,-0.3908,196.4484,149.0168,1085,20,0.1
k,KNN,0.2793,-0.1329,177.3032,134.1622,1085,20,0.5
k,LR,0.1936,-0.3661,194.6974,151.6972,1085,20,0.1
k,Ridge,0.194,-0.3586,194.1643,151.3199,1085,20,0.1
k,SGD,0.2004,-0.3136,190.9182,149.3425,1085,20,0.1
k,SVR,0.3203,0.0416,163.0784,121.961,1085,20,0.7
s,RF,0.24,0.6979,4.1845,2.8229,1085,20,0.0
s,ET,0.2724,0.7113,4.0906,2.7751,1085,20,0.0
s,XGBoost,0.2887,0.6288,4.6387,3.0268,1085,20,0.0
s,CatBoost,0.2007,0.6875,4.2564,2.9112,1085,20,0.0
s,GBDT,0.2529,0.6497,4.5063,3.0269,1085,20,0.0
s,CART,0.2563,0.6347,4.6015,3.1399,1085,20,0.0
s,KNN,0.1968,0.5162,5.2957,3.3772,1085,20,0.0
s,LR,0.2553,0.1307,7.0987,5.0589,1085,20,0.0
s,Ridge,0.2558,0.1312,7.0966,5.0566,1085,20,0.0
s,SGD,0.2577,0.1166,7.1559,5.0849,1085,20,0.0
s,SVR,0.1829,0.5549,5.0797,3.2358,1085,20,0.0
