Target,Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
PH,32x32,Base_39Ch+0_Indices,0,0.236,0.5343,0.4281,0.1422,0.1286,27.6
PH,32x32,Base_39Ch+1_Indices,1,0.6206,0.3765,0.3151,0.0709,0.0669,26.1
PH,32x32,Base_39Ch+2_Indices,2,0.6338,0.3699,0.298,0.0682,0.0641,29.2
PH,32x32,Base_39Ch+3_Indices,3,0.5636,0.4038,0.3331,0.0815,0.0769,18.0
PH,32x32,Base_39Ch+4_Indices,4,0.6659,0.3533,0.3019,0.0624,0.0599,20.2
PH,32x32,Base_39Ch+5_Indices,5,0.7718,0.292,0.2261,0.0426,0.0407,29.9
K,32x32,Base_39Ch+0_Indices,0,0.2303,132.4408,109.3753,108.8753,108.6822,13.6
K,32x32,Base_39Ch+1_Indices,1,0.0827,144.5811,116.5182,116.0182,115.8259,23.8
K,32x32,Base_39Ch+2_Indices,2,0.1317,140.6608,114.4007,113.9007,113.7076,14.9
K,32x32,Base_39Ch+3_Indices,3,0.1809,136.619,109.5182,109.0182,108.8251,21.5
K,32x32,Base_39Ch+4_Indices,4,0.1801,136.6914,112.6401,112.1422,111.9507,15.1
K,32x32,Base_39Ch+5_Indices,5,0.1996,135.0529,110.8487,110.3505,110.1588,14.8
S,32x32,Base_39Ch+0_Indices,0,-0.3956,3.4806,2.4281,1.9834,1.8674,13.6
S,32x32,Base_39Ch+1_Indices,1,-0.1933,3.2185,2.3117,1.8714,1.7551,12.3
S,32x32,Base_39Ch+2_Indices,2,-0.0244,2.982,2.1664,1.7338,1.6214,14.3
S,32x32,Base_39Ch+3_Indices,3,-0.0919,3.0787,2.1154,1.6777,1.5723,10.8
S,32x32,Base_39Ch+4_Indices,4,-0.2819,3.3358,2.4343,2.0007,1.8787,14.2
S,32x32,Base_39Ch+5_Indices,5,0.0368,2.8915,1.981,1.5632,1.4595,15.6
P,32x32,Base_39Ch+0_Indices,0,-0.095,9.8894,7.2288,6.7447,6.5752,9.5
P,32x32,Base_39Ch+1_Indices,1,-0.2766,10.678,7.7509,7.2618,7.089,9.6
P,32x32,Base_39Ch+2_Indices,2,-0.1906,10.3121,7.5028,7.0237,6.8567,10.7
P,32x32,Base_39Ch+3_Indices,3,-0.101,9.9166,7.3716,6.8865,6.7114,11.2
P,32x32,Base_39Ch+4_Indices,4,-0.221,10.4427,7.6671,7.1852,7.0174,9.6
P,32x32,Base_39Ch+5_Indices,5,-0.1056,9.9372,7.3064,6.8227,6.6549,10.1
HU,32x32,Base_39Ch+0_Indices,0,0.4051,0.553,0.4344,0.1495,0.1345,11.8
HU,32x32,Base_39Ch+1_Indices,1,0.4814,0.5163,0.3944,0.1301,0.1178,12.8
HU,32x32,Base_39Ch+2_Indices,2,0.4164,0.5477,0.4237,0.1461,0.1318,8.8
HU,32x32,Base_39Ch+3_Indices,3,0.2286,0.6297,0.4867,0.1854,0.1665,10.9
HU,32x32,Base_39Ch+4_Indices,4,0.3957,0.5573,0.4268,0.151,0.1354,11.8
HU,32x32,Base_39Ch+5_Indices,5,0.4554,0.5291,0.4113,0.138,0.1241,9.2
NO3,32x32,Base_39Ch+0_Indices,0,0.4161,5.0831,3.3558,2.8948,2.7589,13.0
NO3,32x32,Base_39Ch+1_Indices,1,0.4635,4.8722,3.417,2.9531,2.8078,23.0
NO3,32x32,Base_39Ch+2_Indices,2,0.4747,4.8211,3.3905,2.9225,2.781,15.8
NO3,32x32,Base_39Ch+3_Indices,3,0.3002,5.5645,3.5563,3.0959,2.9623,9.7
NO3,32x32,Base_39Ch+4_Indices,4,0.3932,5.1815,3.6228,3.1548,3.0089,33.2
NO3,32x32,Base_39Ch+5_Indices,5,0.5749,4.3372,3.0542,2.5868,2.4465,14.7
