Property,RS feature,rho,p_nominal,Group,Leakage-suspect
pH,l8_GNDVI_spring,-0.67,1.6e-142,Spectral,no
pH,l8_NDVI_spring,-0.661,5.7e-137,Spectral,no
pH,climate_MAP,0.659,5.8e-136,Climatic,no
pH,topo_slope,0.609,6.8e-111,Topographical,no
pH,spectral_B3_summer,0.6,5.4e-107,Spectral,YES
K2O,s2_BSI_spring,-0.478,5.4e-63,Spectral,no
K2O,s2_GNDVI_spring,-0.417,7.7e-47,Spectral,no
K2O,topo_aspect_sin,-0.412,1.1e-45,Topographical,no
K2O,spectral_B11_B8_spring,-0.4,4.8e-43,Spectral,YES
K2O,s2_MSI_spring,-0.399,1.3e-42,Spectral,no
P2O5,glcm_glcm_red_ent_autumn,-0.525,3.0e-72,Texture,YES
P2O5,glcm_glcm_red_asm_autumn,0.513,1.8e-68,Texture,YES
P2O5,glcm_glcm_nir_ent_autumn,-0.512,5.0e-68,Texture,YES
P2O5,glcm_glcm_nir_asm_autumn,0.506,3.4e-66,Texture,YES
P2O5,glcm_glcm_red_ent_summer,-0.506,1.9e-71,Texture,YES
NO3,s2_SAVI_spring,-0.431,2.1e-50,Spectral,no
NO3,l8_SAVI_spring,-0.419,2.6e-47,Spectral,no
NO3,l8_GNDVI_spring,-0.417,5.3e-47,Spectral,no
NO3,l8_SR_B5_spring,-0.415,1.9e-46,Spectral,no
NO3,s2_EVI_spring,-0.406,3.0e-44,Spectral,no
SOC,glcm_ratio_ent_summer,0.373,3.1e-37,Texture,YES
SOC,glcm_ratio_asm_summer,-0.373,3.2e-37,Texture,YES
SOC,topo_slope,-0.368,3.4e-36,Topographical,no
SOC,glcm_ratio_contrast_summer,0.366,1.1e-35,Texture,YES
SOC,spectral_PCA_5_summer,-0.362,5.8e-35,Spectral,YES
S,ts_l8_NDVI_mean,0.418,3.5e-47,Temporal,YES
S,l8_SAVI_late_summer,0.383,3.0e-39,Spectral,YES
S,ts_spectral_SAVI_mean,0.367,6.6e-36,Temporal,YES
S,ts_spectral_NDVI_mean,0.367,6.6e-36,Temporal,YES
S,ts_l8_SAVI_mean,0.363,3.2e-35,Temporal,YES
